dataset,correlation,p_value,mean_support
20196_18,0.96,0.0,33.97674418604651
20196_19,0.96,0.0,51.94871794871795
20239_0,0.93,0.0,68.16981132075472
20239_3,0.95,0.0,72.72327044025157
20250_1,0.87,0.0,45.78947368421053
20736_0,0.94,0.0,73.3302752293578
20944_1,0.79,0.0,63.382716049382715
21191_0,0.83,0.0,90.46153846153847
21303_0,0.92,0.0,60.50387596899225
2180_2,0.95,0.0,77.70454545454545
21817_6,0.87,0.0,44.66242038216561
2191_2,0.94,0.0,77.25
21973_9,0.98,0.0,79.63636363636364
22052_0,0.93,0.0,65.12903225806451
22091_1,0.78,0.0,73.95
2217_0,0.93,0.0,69.18072289156626
22200_0,0.91,0.0,69.40528634361233
2224_0,0.92,0.0,70.67924528301887
22408_11,0.97,0.0,32.142857142857146
22429_0,0.9,0.0,70.46945337620579
22442_11,0.92,0.0,52.0
22442_6,0.85,0.002,61.9
22475_0,0.9,0.0,70.13636363636364
2248_0,0.96,0.0,72.76785714285714
2250_0,0.91,0.0,53.1
22552_1,0.91,0.0,65.12903225806451
2256_1,0.98,0.0,77.53846153846153
22751_1,0.95,0.0,68.91489361702128
22798_0,0.85,0.0,69.17692307692307
22805_0,0.93,0.0,40.75139664804469
22941_0,0.92,0.0,69.92857142857143
22999_3,1.0,0.017,66.0
23036_0,0.94,0.0,42.770270270270274
23279_0,0.96,0.0,67.3984962406015
23282_0,0.95,0.0,53.07142857142857
23436_0,0.82,0.0,70.08080808080808
23535_1,0.84,0.0,65.72380952380952
23593_0,0.95,0.0,38.62903225806452
23768_0,0.89,0.0,53.57627118644068
23884_0,0.93,0.0,77.13541666666667
25031_0,0.8,0.0,79.92
25084_2,0.9,0.0,60.528301886792455
25181_0,0.94,0.0,56.14728682170543
25256_20,0.93,0.002,74.71428571428571
25256_23,1.0,0.0,62.5
25284_1,0.9,0.0,66.11111111111111
25341_1,0.92,0.0,69.05343511450381
25554_1,0.92,0.0,63.46666666666667
25635_1,0.83,0.0,59.62732919254658
25818_4,0.94,0.0,70.33333333333333
25829_8,0.87,0.0,73.60714285714286
26085_4,0.95,0.0,40.1
26188_0,0.85,0.0,77.45454545454545
26212_1,0.91,0.0,83.52173913043478
26551_4,0.95,0.0,54.73684210526316
26628_4,0.97,0.0,47.67307692307692
26669_46,0.96,0.0,41.88235294117647
26988_12,0.79,0.0,57.31578947368421
26988_8,0.97,0.0,56.05555555555556
27016_1,0.94,0.0,52.11538461538461
27176_0,0.93,0.0,62.52884615384615
27689_0,0.91,0.0,65.07053941908714
28112_0,0.85,0.0,78.55263157894737
28258_0,0.98,0.0,49.391304347826086
28360_17,0.98,0.0,33.75
28360_18,0.96,0.0,50.766666666666666
28360_2,0.95,0.0,56.3728813559322
28360_30,0.95,0.0,52.2
28360_8,0.96,0.0,39.16129032258065
362_1,0.89,0.0,49.96
684_1,0.96,0.0,46.5
688_1,0.95,0.0,45.9
9936_1,0.97,0.0,48.111111111111114
9972_0,0.96,0.0,64.8076923076923
9987_1,0.89,0.0,61.65625
