dataset,elapsed_time_iqtree,elapsed_time_ebg,elapsed_time_alrt,num_seq,len,elapsed_time_inference,elapsed_time_sbs,msa_size,elapsed_time_ebg_inf,isDNA,elapsed_time_rb_ng
17594_13,189,14,187,76,396,6,100,30096,20,1,18.710610389709476
19925_0,151,19,152,55,2152,3,78,118360,22,1,30.006082773208615
10703_5,229,11,227,20,560,0,6,11200,11,1,3.4323716163635254
18448_0,404,43,320,207,2001,75,1959,414207,118,1,224.27178931236267
16637_2,210,13,208,30,682,1,12,20460,14,1,6.8818066120147705
11768_1,189,14,180,55,475,2,42,26125,16,1,10.14249038696289
15427_0,174,16,164,45,1241,2,38,55845,18,1,10.883819580078123
26212_1,249,42,247,94,6459,19,1103,607146,61,1,277.3549325466156
14833_4,161,28,173,72,4464,7,188,321408,35,1,35.34060263633728
18438_0,197,14,204,15,2466,0,7,36990,14,1,2.9091763496398926
25284_1,189,15,173,56,691,2,46,38696,17,1,11.46793508529663
10714_0,167,55,174,90,8910,10,535,801900,65,1,70.47322535514832
19447_0,209,11,205,17,609,0,7,10353,11,1,3.406815528869629
10568_0,172,26,152,88,2857,9,227,251416,35,1,47.82724595069885
12165_2,253,28,208,173,1140,32,941,197220,60,1,105.27215313911438
15253_0,1033,82,1259,290,3530,235,9448,1023700,317,1,1395.5836098194122
20239_0,480,54,349,320,1499,62,1693,479680,116,1,188.463885307312
2191_2,199,13,188,22,635,0,9,13970,13,1,4.113358497619629
25818_4,185,10,186,14,449,0,4,6286,10,1,2.963148593902588
12855_2,246,20,209,131,751,12,275,98381,32,1,63.50106287002564
15635_1,156,20,151,45,3406,3,75,153270,23,1,16.229520559310913
15179_2,209,17,195,76,942,3,59,71592,20,1,13.447307109832764
10118_0,255,31,205,125,2428,22,568,303500,53,1,3.5678439140319824
2180_2,187,14,191,46,595,1,27,27370,15,1,8.028352499008179
11966_0,194,13,164,48,612,2,42,29376,15,1,12.221282958984377
14534_25,218,12,216,24,540,0,8,12960,12,1,4.286427021026611
27176_0,269,29,342,106,2670,18,573,283020,47,1,83.29497146606445
19782_3,195,12,189,25,448,0,10,11200,12,1,4.940496921539307
22442_11,170,12,160,14,1146,0,5,16044,12,1,3.874333620071411
13184_0,346,27,218,138,1520,26,787,209760,53,1,140.13313364982605
14725_5,168,17,179,69,1430,4,102,98670,21,1,20.781543731689453
16737_0,185,13,176,25,729,0,12,18225,13,1,5.425259828567505
17723_0,195,42,195,71,7594,10,296,539174,52,1,109.71294164657591
16007_0,222,12,209,20,654,0,7,13080,12,1,3.905522346496582
23436_0,209,22,180,101,1469,11,237,148369,33,1,34.73768472671509
10856_1,193,11,186,35,463,1,17,16205,12,1,6.826573371887207
21303_0,521,136,546,131,14072,235,8060,1843432,371,1,1116.044103384018
10098_1,172,15,172,71,668,4,73,47428,19,1,16.591145753860474
11376_0,153,19,158,63,1759,8,221,110817,27,1,45.82621788978577
15097_1,237,27,190,108,2586,19,498,279288,46,1,78.64679098129272
17774_4,161,18,158,45,2855,2,46,128475,20,1,14.11090612411499
11972_1,200,13,195,34,526,2,21,17884,15,1,10.91357946395874
17749_1,190,16,177,45,1366,1,26,61470,17,1,9.680877447128296
10270_3,176,21,183,46,3888,2,32,178848,23,1,9.124117136001589
17390_1,178,16,172,52,1042,2,40,54184,18,1,10.168575763702393
10652_0,206,14,215,15,1909,0,4,28635,14,1,3.082915544509888
14643_2,262,21,215,139,661,20,354,91879,41,1,73.49019694328308
19466_3,211,11,192,18,276,0,6,4968,11,1,3.5859620571136475
20239_3,527,64,364,320,2277,90,3383,728640,154,1,311.91953229904175
25341_1,223,30,186,133,2084,16,474,277172,46,1,125.82798099517822
26085_4,215,11,230,12,748,0,4,8976,11,1,2.881691694259644
14959_2,248,20,216,123,759,13,201,93357,33,1,39.374074935913086
16785_1,249,19,195,134,357,12,185,47838,31,1,23.46035623550415
22751_1,177,20,161,96,1219,10,231,117024,30,1,59.01206016540527
18077_0,861,48,679,281,1530,59,2857,429930,107,1,305.9588897228241
11783_0,212,15,209,70,420,3,53,29400,18,1,9.882778882980348
9936_1,195,14,194,47,503,1,27,23641,15,1,10.427217483520508
17885_1,209,17,201,27,2789,0,17,75303,17,1,5.4547038078308105
27689_0,478,62,502,243,2983,110,4648,724869,172,1,473.6908721923828
2248_0,236,27,198,114,1990,18,501,226860,45,1,96.0101923942566
14688_23,154,9,143,16,171,0,9,2736,9,1,4.949283599853516
15682_0,243,16,298,68,455,9,216,30940,25,1,35.55659222602844
22052_0,218,14,217,33,785,5,71,25905,19,0,16.266011476516724
15636_0,257,16,293,130,221,26,434,28730,42,0,46.784499645233154
15368_0,266,15,241,82,389,11,233,31898,26,0,31.646525382995605
14526_0,340,23,331,61,3416,66,861,208376,89,0,138.65239262580872
17168_0,190,12,205,60,226,8,103,13560,20,0,18.056888103485107
25084_2,175,12,167,55,219,4,88,12045,16,0,13.848397254943848
22475_0,280,20,284,24,5708,15,296,136992,35,0,230.632999420166
14688_0,144,9,143,8,227,0,3,1816,9,0,2.495936393737793
18654_0,203,12,203,26,663,7,62,17238,19,0,14.34063720703125
15021_3,165,13,201,44,407,8,71,17908,21,0,14.376019954681396
15769_0,283,15,261,54,363,11,134,19602,26,0,22.17743492126465
19740_5,890,55,763,137,5143,480,7846,704591,535,0,817.6580486297607
22798_0,391,18,485,132,231,49,480,30492,67,0,76.47320294380188
23279_0,943,33,765,242,413,189,1731,99946,222,0,162.6182210445404
20250_1,176,9,175,21,37,0,9,777,9,0,3.531886100769043
28360_30,161,12,174,52,164,6,74,8528,18,0,20.651131629943848
22429_0,719,40,1208,313,394,288,2909,123322,328,0,223.38870120048523
12306_1,392,19,406,100,567,45,479,56700,64,0,61.87275576591492
19889_1,2011,42,1535,324,351,236,3093,113724,278,0,195.42846989631653
17878_9,2689,218,2830,388,4901,2876,60601,1901588,3094,0,9417.354457139969
22200_0,2522,28,1875,229,314,118,1326,71906,146,0,89.43469142913818
10983_0,1481,80,685,77,12457,1354,13854,959189,1434,0,1364.4640028476715
15669_9,383,18,416,136,263,57,521,35768,75,0,55.611762046813965
12306_13,427,20,443,100,699,64,707,69900,84,0,98.55304408073424
22408_11,139,9,140,9,122,0,4,1098,9,0,2.3754615783691406
25181_0,556,18,477,131,309,79,566,40479,97,0,70.51271867752075
10542_1,716,29,648,241,266,162,1538,64106,191,0,145.62665843963623
28360_18,208,13,251,62,222,11,109,13764,24,0,15.926384687423706
23036_0,313,14,252,76,162,19,154,12312,33,0,21.292800903320312
10791_9,145,11,142,27,260,4,47,7020,15,0,7.682162523269653
10436_8,407,35,482,32,10469,223,3133,335008,258,0,356.5052852630615
13985_6,311,18,314,155,107,44,411,16585,62,0,55.38167858123779
15306_5,1215,32,618,211,784,277,3267,165424,309,0,787.1621804237366
12329_0,3570,285,1515,51,53799,2607,42267,2743749,2892,0,6517.711911439896
10454_1,742,44,624,60,7776,487,8701,466560,531,0,503.0981752872467
28360_2,247,14,234,61,500,21,186,30500,35,0,25.141042232513428
14244_0,964,160,894,58,29896,2541,34531,1733968,2701,0,2243.9644763469696
21817_6,577,18,441,159,194,65,667,30846,83,0,67.80655789375305
10436_0,574,30,481,48,5710,319,4026,274080,349,0,392.3520781993866
28360_17,291,13,242,62,168,11,105,10416,24,0,14.414791822433472
15039_2,29291,446,7722,888,1627,11454,91447,1444776,11900,0,21610.511969566345
10801_0,266,13,248,40,773,30,339,30920,43,0,25.303539037704468
16190_2,559,17,368,143,64,35,291,9152,52,0,22.80282187461853
13909_1,2309,40,1044,388,51,245,1710,19788,285,0,120.8015365600586
20196_18,1400,23,736,217,188,143,1396,40796,166,0,185.09703993797305
22805_0,8987,112,1636,718,117,514,6074,84006,626,0,1114.3094754219055
15861_2,2402,29,814,292,87,130,1087,25404,159,0,76.16955304145813
28360_8,273,13,209,64,123,11,96,7872,24,0,12.008054971694946
20079_4,415,18,599,120,237,29,357,28440,47,0,34.42220854759216
