dataset,elapsed_time_iqtree,elapsed_time_ebg,elapsed_time_alrt,num_seq,len,elapsed_time_inference,elapsed_time_sbs,msa_size,elapsed_time_ebg_inf,isDNA
26188_0,1132,44,812,178,1857,704,5037,330546,748,0
13909_1,2309,40,1044,388,51,245,1710,19788,285,0
20196_18,1400,23,736,217,188,143,1396,40796,166,0
22805_0,8987,112,1636,718,117,514,6074,84006,626,0
10986_0,1117,198,1369,39,47953,1384,21945,1870167,1582,0
15861_2,2402,29,814,292,87,130,1087,25404,159,0
28360_8,273,13,209,64,123,11,96,7872,24,0
23593_0,436,14,426,64,268,21,167,17152,35,0
13909_0,1097,20,530,200,49,74,493,9800,94,0
20079_4,415,18,599,120,237,29,357,28440,47,0
10562_0,3306,95,7175,148,6578,3721,38519,973544,3816,0
