dataset,diff
11968_1,0.13
10898_0,0.8
15021_0,0.27
17371_0,0.25
17320_0,0.0
10901_1,0.0
15388_0,0.67
2251_2,0.52
13828_0,0.55
22091_3,0.26
15820_0,0.0
12594_1,0.65
14010_5,0.0
13715_0,0.55
13654_3,0.01
19341_0,0.56
18003_2,0.07
379_0,0.2
11663_0,0.08
12840_1,0.28
15721_0,0.02
13778_3,0.05
26895_5,0.4
25433_0,0.54
11297_12,0.09
26669_48,0.4
16941_1,0.04
16834_1,0.41
10064_0,0.65
14602_1,0.01
11391_3,0.06
19171_22,0.58
11416_1,0.57
21995_4,0.11
14144_6,0.18
25286_3,0.41
11589_0,0.15
17059_0,0.57
22152_0,0.53
15309_0,0.0
18314_0,0.3
10684_2,0.13
15277_0,0.07
14945_2,0.25
10400_10,0.39
20518_0,0.31
16659_4,0.32
18202_9,0.77
13372_0,0.03
16473_6,0.03
19915_0,0.64
15214_0,0.42
2233_0,0.56
14297_1,0.2
566_0,0.04
12262_0,0.48
10754_4,0.61
10568_0,0.56
14907_0,0.02
13483_0,0.58
17978_0,0.22
25647_5,0.49
14650_5,0.5
16793_1,0.01
12295_2,0.47
24105_0,0.26
10188_0,0.52
10200_3,0.57
11452_2,0.38
16449_3,0.25
23304_0,0.16
17896_26,0.01
21130_1,0.58
10701_16,0.2
16473_2,0.02
14646_0,0.59
22696_0,0.71
20306_0,0.64
26404_0,0.48
19961_1,0.16
22105_0,0.07
18303_0,0.03
21776_1,0.15
12975_4,0.57
16238_6,0.51
632_1,0.63
10673_4,0.63
10223_0,0.18
11863_3,0.36
27350_1,0.69
16313_10,0.62
11269_4,0.19
11105_2,0.5
27155_0,0.27
22812_1,0.61
15857_0,0.52
14837_0,0.36
20094_0,0.68
12265_1,0.69
18173_1,0.02
15159_5,0.0
16161_6,0.0
19316_1,0.24
16539_0,0.36
20930_5,0.43
12410_7,0.28
23718_1,0.76
585_2,0.06
10243_0,0.07
14433_2,0.46
22958_0,0.11
17503_1,0.45
13336_0,0.46
18773_0,0.02
14643_4,0.29
11828_0,0.56
18012_0,0.44
17053_0,0.59
22685_1,0.12
10953_0,0.54
11949_1,0.05
420_1,0.0
18927_0,0.19
12042_0,0.65
23305_0,0.13
10766_0,0.58
21486_7,0.5
12540_6,0.01
26669_45,0.25
26232_1,0.22
15415_9,0.56
14872_4,0.0
23280_1,0.47
21046_0,0.06
23859_0,0.1
12410_36,0.59
18492_0,0.71
21567_0,0.1
11444_0,0.52
14433_1,0.1
16236_1,0.18
683_6,0.07
26786_0,0.4
9976_1,0.0
12410_13,0.02
26050_1,0.0
