dataset,difficulty
10315_1,0.16
20285_0,0.25
20654_0,0.5
16699_0,0.12
10389_0,0.52
15306_1,0.47
11991_2,0.18
22357_0,0.74
13158_2,0.5
17896_4,0.03
19165_1,0.02
14287_0,0.59
12201_7,0.01
27002_2,0.25
10296_2,0.21
15021_2,0.21
20343_3,0.22
16371_1,0.67
13985_1,0.11
25503_0,0.08
20320_0,0.13
12841_0,0.59
15512_0,0.28
25256_13,0.16
20670_1,0.21
18019_0,0.69
23565_2,0.48
13841_0,0.47
2197_1,0.29
11681_4,0.39
24053_1,0.07
11331_0,0.18
22051_1,0.4
10623_0,0.37
13728_1,0.61
13184_0,0.56
21362_1,0.56
11623_0,0.67
17896_20,0.01
12005_1,0.4
18263_0,0.01
22544_0,0.04
16269_2,0.31
13611_0,0.56
21576_0,0.54
13304_1,0.01
10011_2,0.31
12179_0,0.15
18113_12,0.01
20533_0,0.0
27860_0,0.23
18162_0,0.56
18509_2,0.17
11642_1,0.46
14688_0,0.11
15688_0,0.01
2192_2,0.08
18202_1,0.3
15531_0,0.08
24248_0,0.21
12493_3,0.19
19171_19,0.71
19082_0,0.48
16208_3,0.38
20804_0,0.47
11565_2,0.59
19475_3,0.39
28407_0,0.0
12306_3,0.5
11815_0,0.09
26767_8,0.0
18448_3,0.5
12306_13,0.39
23853_5,0.56
11703_0,0.1
14688_35,0.01
19656_1,0.05
10703_0,0.21
14688_21,0.0
22798_0,0.2
15435_1,0.03
10828_0,0.04
25309_1,0.02
12160_1,0.74
22442_3,0.17
556_1,0.16
11288_2,0.1
11972_2,0.49
20413_0,0.52
10152_1,0.61
17972_13,0.33
9994_1,0.29
20087_0,0.01
14771_1,0.62
21087_0,0.15
23720_0,0.02
14549_0,0.36
18202_38,0.39
673_0,0.23
16313_5,0.53
11762_1,0.74
636_0,0.06
12162_3,0.48
11849_1,0.03
22678_0,0.15
22475_8,0.23
18202_10,0.1
12595_0,0.4
15454_0,0.19
15691_1,0.4
26669_2,0.12
2214_0,0.59
572_0,0.14
11502_5,0.54
14119_4,0.07
10115_3,0.27
11133_0,0.61
21085_2,0.37
10133_0,0.11
21085_3,0.44
18825_0,0.57
10133_1,0.56
18023_0,0.28
10115_2,0.13
14119_5,0.53
18982_2,0.63
15691_0,0.35
554_2,0.32
16328_2,0.04
20736_0,0.34
18202_11,0.37
12162_2,0.53
11849_0,0.03
21773_0,0.0
16313_4,0.19
11762_0,0.76
10727_0,0.52
18202_39,0.27
16093_0,0.17
11911_0,0.05
11152_0,0.19
14771_0,0.57
9994_0,0.25
10152_0,0.59
17972_12,0.15
10954_0,0.82
22518_0,0.23
10402_1,0.02
18980_0,0.18
14693_2,0.01
2230_0,0.47
556_0,0.45
22442_2,0.22
15435_0,0.26
12160_0,0.64
25309_0,0.6
14688_20,0.02
10703_1,0.05
23853_4,0.0
12306_12,0.48
18448_2,0.43
26767_9,0.01
27509_2,0.0
14688_34,0.0
12306_2,0.26
14408_0,0.08
22745_4,0.42
9954_0,0.4
16208_2,0.2
20804_1,0.06
12670_0,0.67
11192_0,0.36
697_0,0.54
11786_1,0.13
19171_18,0.22
12493_2,0.3
17602_1,0.36
18202_0,0.22
11210_6,0.64
13801_2,0.52
18717_1,0.04
14867_0,0.56
18509_3,0.17
14688_1,0.01
19595_2,0.56
22438_0,0.48
17527_0,0.01
18113_13,0.0
18144_2,0.68
11037_0,0.19
24128_0,0.01
13304_0,0.5
22781_0,0.67
709_6,0.03
16269_3,0.15
17663_0,0.0
12005_0,0.31
14550_0,0.21
26322_1,0.79
17896_21,0.01
13728_0,0.24
21919_1,0.66
21362_0,0.17
22051_0,0.15
15045_1,0.53
21919_3,0.51
18568_0,0.47
20795_1,0.04
15820_0,0.03
28254_0,0.29
22051_2,0.65
12005_2,0.54
17896_23,0.01
17480_0,0.16
28110_0,0.19
20238_0,0.59
27434_5,0.0
10996_0,0.05
17014_0,0.4
18414_1,0.05
18113_39,0.17
16269_1,0.41
709_4,0.0
11504_0,0.04
11618_5,0.66
16739_0,0.06
23626_0,0.74
18113_11,0.02
19171_9,0.53
19595_0,0.61
10229_0,0.13
10011_1,0.57
10485_1,0.14
18595_0,0.73
18144_0,0.72
15898_0,0.31
18717_3,0.06
14688_3,0.0
18509_1,0.21
11642_2,0.75
12493_0,0.17
12007_0,0.47
18261_1,0.64
13801_0,0.62
11210_4,0.7
15531_3,0.15
16661_0,0.63
13844_0,0.01
2192_1,0.01
18202_2,0.33
11565_1,0.52
16208_0,0.23
21817_9,0.43
21259_1,0.55
16855_2,0.48
9972_1,0.63
25723_4,0.79
27571_0,0.39
9937_1,0.42
17208_0,0.72
10070_0,0.71
12306_0,0.36
19789_0,0.43
20196_19,0.21
13082_0,0.39
13453_0,0.54
634_1,0.52
10703_3,0.55
14688_22,0.0
16785_4,0.17
14688_36,0.0
12416_0,0.23
18448_0,0.48
12306_10,0.34
22442_0,0.02
10008_0,0.05
14426_8,0.09
23442_0,0.75
11008_0,0.26
14693_0,0.0
13717_0,0.5
11288_1,0.28
10402_3,0.02
21963_1,0.1
17977_0,0.28
17171_0,0.13
10268_4,0.37
21648_1,0.22
11972_1,0.39
17972_10,0.24
11762_2,0.72
20205_0,0.53
18654_0,0.28
16313_6,0.13
284_0,0.04
16029_0,0.37
610_0,0.32
14437_0,0.71
18202_13,0.22
12162_0,0.57
18982_0,0.22
11502_6,0.17
20947_0,0.68
16328_0,0.12
2232_0,0.1
554_0,0.49
26669_1,0.65
15691_2,0.15
21085_1,0.48
27101_1,0.23
10115_0,0.2
27101_0,0.48
25277_0,0.05
18846_0,0.68
10115_1,0.29
10133_2,0.14
21085_0,0.61
11892_0,0.16
554_1,0.6
23809_0,0.38
14119_6,0.63
18982_1,0.6
20947_1,0.62
12162_1,0.58
18202_12,0.22
14437_1,0.8
12101_2,0.18
16029_1,0.09
610_1,0.71
11762_3,0.72
16313_7,0.41
20205_1,0.5
17972_11,0.13
11972_0,0.36
21648_0,0.38
11131_0,0.33
10268_5,0.52
14693_1,0.06
11288_0,0.56
19365_1,0.76
14426_9,0.05
22442_1,0.0
10275_0,0.38
10230_0,0.3
27059_0,0.41
12146_0,0.02
14688_37,0.0
12306_11,0.41
18448_1,0.64
17499_0,0.0
20196_18,0.63
16785_5,0.77
14688_23,0.15
10703_2,0.41
634_0,0.54
161_0,0.0
10248_0,0.45
12306_1,0.37
10070_1,0.54
9972_0,0.2
9937_0,0.64
25723_5,0.77
11565_0,0.47
21259_0,0.63
21817_8,0.12
16208_1,0.59
15531_2,0.18
11210_5,0.06
18202_3,0.27
2192_0,0.0
12493_1,0.28
20675_0,0.49
18261_0,0.68
14688_2,0.0
18509_0,0.12
18717_2,0.03
13512_0,0.38
10011_0,0.24
18144_1,0.62
10485_0,0.03
26278_0,0.27
14677_0,0.6
19595_1,0.63
19171_8,0.59
18113_10,0.0
11054_0,0.51
13322_0,0.41
709_5,0.0
16269_0,0.38
18113_38,0.03
11618_4,0.61
27434_4,0.05
20238_1,0.23
20124_4,0.14
28110_1,0.2
18414_0,0.03
10996_1,0.07
17896_22,0.02
10271_4,0.03
11336_3,0.53
22051_3,0.13
17168_0,0.13
18381_0,0.26
21919_2,0.78
15865_1,0.02
20344_0,0.55
20795_0,0.35
18159_0,0.31
10271_0,0.24
20508_0,0.25
17896_26,0.04
15931_8,0.57
11519_0,0.64
16009_0,0.21
24092_0,0.33
18971_10,0.18
11348_1,0.52
18113_14,0.0
11170_0,0.41
12206_0,0.55
12692_0,0.13
18113_28,0.03
27434_0,0.03
11618_0,0.21
13756_1,0.44
21124_0,0.22
16175_1,0.02
16269_4,0.14
709_1,0.01
12493_5,0.2
16394_1,0.01
18202_7,0.18
344_0,0.12
14163_0,0.58
2172_1,0.58
26529_0,0.55
19171_23,0.61
17215_0,0.61
14688_6,0.0
22177_1,0.56
12306_5,0.26
19807_0,0.05
24273_0,0.18
22745_3,0.47
11329_0,0.24
11404_0,0.26
15039_2,0.51
11441_0,0.16
16151_0,0.19
15695_3,0.68
28055_0,0.42
20145_1,0.03
17151_0,0.03
18551_1,0.15
22566_1,0.45
15537_0,0.03
22442_5,0.13
20196_20,0.02
10949_2,0.37
10703_6,0.03
16785_1,0.54
14688_27,0.0
23036_0,0.49
23853_3,0.51
18448_5,0.58
15861_1,0.63
22875_0,0.31
14688_33,0.0
28068_0,0.41
10015_0,0.36
15636_0,0.18
10268_1,0.54
17972_15,0.26
13281_2,0.63
27986_0,0.64
18202_16,0.17
25209_2,0.2
12162_5,0.64
18018_1,0.85
10791_8,0.21
12840_1,0.66
22193_0,0.25
10089_1,0.03
17370_0,0.38
16313_3,0.61
18548_0,0.29
11762_7,0.75
12553_0,0.54
23486_1,0.22
11625_0,0.09
19735_1,0.66
11209_0,0.45
23292_0,0.01
10115_5,0.08
15657_1,0.44
14671_2,0.72
25782_0,0.37
11502_3,0.07
17034_0,0.51
14119_2,0.55
21218_0,0.26
648_0,0.26
11502_2,0.02
14119_3,0.11
23599_2,0.67
15657_0,0.53
17521_0,0.03
10115_4,0.06
10074_0,0.13
11209_1,0.51
11872_0,0.09
23486_0,0.16
10603_2,0.34
19735_0,0.48
16313_2,0.38
18770_0,0.05
10089_0,0.03
11762_6,0.76
18018_0,0.8
12162_4,0.57
10330_0,0.15
22193_1,0.48
12003_0,0.57
12840_0,0.64
10791_9,0.42
25209_3,0.13
18206_2,0.14
18202_17,0.46
10194_0,0.26
27986_1,0.55
13281_3,0.36
10500_0,0.05
17972_14,0.37
24169_2,0.2
27001_0,0.61
10268_0,0.71
15861_0,0.57
18448_4,0.25
23853_2,0.55
14688_32,0.0
14688_26,0.0
16785_0,0.57
11644_0,0.03
10703_7,0.1
23036_1,0.32
14824_0,0.49
10949_3,0.6
17604_1,0.5
20196_21,0.04
22442_4,0.0
22566_0,0.1
25723_0,0.67
20145_0,0.15
18551_0,0.09
15039_3,0.28
15695_2,0.59
16151_1,0.43
22745_2,0.59
12306_4,0.42
23745_2,0.24
17893_0,0.71
17215_1,0.6
18509_5,0.31
22177_0,0.42
18281_0,0.71
14688_7,0.0
19615_0,0.0
19171_22,0.57
26529_1,0.39
16068_0,0.14
18202_6,0.24
16394_0,0.02
12493_4,0.32
20569_0,0.16
13756_0,0.55
21788_0,0.23
11618_1,0.67
709_0,0.0
21124_1,0.17
26880_2,0.56
18113_29,0.06
27434_1,0.1
18113_15,0.0
11348_0,0.28
21431_0,0.32
16009_1,0.21
22051_6,0.07
16274_0,0.49
12086_0,0.38
10271_1,0.02
25915_0,0.01
22045_10,0.05
17896_27,0.03
21730_0,0.54
17896_25,0.02
14431_0,0.19
26838_0,0.26
19694_6,0.15
10212_0,0.32
17896_31,0.05
12298_0,0.22
17896_19,0.03
22051_4,0.12
19617_0,0.0
20885_1,0.21
15775_0,0.32
18113_17,0.01
15058_0,0.16
709_2,0.0
11618_3,0.19
10092_1,0.17
23231_0,0.09
20124_3,0.15
27434_3,0.04
26880_0,0.48
11210_2,0.51
18202_4,0.27
12493_6,0.45
26222_0,0.02
362_0,0.46
13903_1,0.49
11236_1,0.7
14688_5,0.0
14594_0,0.18
22177_2,0.76
13882_0,0.17
19171_20,0.56
22745_0,0.41
12079_0,0.3
17427_1,0.43
19821_0,0.01
23745_0,0.55
12306_6,0.38
16971_0,0.11
14244_0,0.51
22442_11,0.15
15695_0,0.65
15039_1,0.05
20126_1,0.2
15201_0,0.23
20673_1,0.49
10949_1,0.24
22442_6,0.12
20196_23,0.5
14688_18,0.07
16392_4,0.56
14688_30,0.01
14872_8,0.13
23853_0,0.38
15861_2,0.6
18448_6,0.65
22853_0,0.22
10703_5,0.4
16785_2,0.61
14688_24,0.0
20196_8,0.07
17566_0,0.57
17972_16,0.11
10268_2,0.81
24169_0,0.36
19473_0,0.01
13281_1,0.45
22354_0,0.01
20861_0,0.0
12840_2,0.69
24031_0,0.02
18018_2,0.75
18202_15,0.36
19735_2,0.61
22698_0,0.09
10603_0,0.42
12540_9,0.06
11762_4,0.76
10089_2,0.02
16313_0,0.13
19944_0,0.39
14671_1,0.41
19901_0,0.4
15657_2,0.45
12159_0,0.46
17486_0,0.06
17814_0,0.51
26516_1,0.03
14119_1,0.2
13674_0,0.7
14119_0,0.67
18962_2,0.58
13324_0,0.21
14426_10,0.18
18202_28,0.34
12553_2,0.43
11762_5,0.76
19387_0,0.47
16313_1,0.5
19713_0,0.15
10089_3,0.02
23034_0,0.43
12540_8,0.17
10603_1,0.32
18202_14,0.35
12840_3,0.66
20861_1,0.07
13281_0,0.13
10268_3,0.63
23604_0,0.2
24169_1,0.16
23290_0,0.67
20196_9,0.05
17972_17,0.18
17566_1,0.26
15847_0,0.51
14688_25,0.01
16785_3,0.64
17337_0,0.56
10703_4,0.23
14872_9,0.02
14688_31,0.02
18448_7,0.39
23853_1,0.51
20196_22,0.55
266_0,0.01
22442_7,0.58
14688_19,0.03
10949_0,0.69
20673_0,0.64
9989_0,0.14
12754_1,0.42
15039_0,0.28
22442_10,0.12
25723_3,0.82
23745_1,0.53
13690_0,0.41
12306_7,0.39
18062_1,0.29
22745_1,0.59
17427_0,0.25
19171_21,0.59
18717_4,0.08
22177_3,0.53
21262_0,0.53
14594_1,0.19
14688_4,0.01
18509_6,0.48
12493_7,0.24
11236_0,0.64
13903_0,0.77
11210_3,0.23
18202_5,0.22
22639_0,0.69
27434_2,0.02
20124_2,0.0
19516_1,0.8
11894_0,0.46
11443_0,0.14
26880_1,0.18
13735_0,0.0
709_3,0.02
21124_2,0.0
10092_0,0.55
11618_2,0.22
10156_1,0.17
20885_0,0.22
18113_16,0.01
18840_0,0.13
23308_0,0.47
616_1,0.01
17217_0,0.55
12471_0,0.08
17896_18,0.02
10707_0,0.69
22308_0,0.0
16009_2,0.21
22051_5,0.06
15124_0,0.0
18796_0,0.02
17896_30,0.05
10212_1,0.74
10869_0,0.14
17896_24,0.02
346_0,0.0
10271_2,0.21
25906_4,0.71
14718_0,0.73
17896_29,0.06
11978_0,0.23
21293_0,0.09
13444_4,0.06
15931_7,0.04
20371_2,0.13
14035_0,0.16
17896_15,0.02
20312_1,0.08
10282_0,0.05
27016_0,0.33
25360_0,0.47
12331_1,0.67
19171_3,0.01
18951_0,0.81
15642_2,0.05
19951_0,0.1
587_0,0.0
11552_0,0.54
16042_0,0.02
18113_27,0.03
18113_33,0.02
9945_0,0.07
12624_0,0.62
21889_0,0.49
19171_10,0.58
15504_0,0.04
12857_0,0.0
18202_8,0.17
25181_0,0.38
22491_0,0.34
14688_9,0.1
11677_1,0.07
19767_0,0.55
21336_0,0.19
10806_3,0.06
11026_0,0.23
13985_11,0.31
22429_0,0.33
21817_3,0.03
9961_1,0.61
23304_0,0.1
21831_0,0.52
12663_2,0.03
15908_3,0.63
19466_0,0.05
10240_2,0.43
12975_2,0.12
